title,description,priority
Security Emergency,Lift stopped unexpectedly with students inside Block C. The issue is affecting daily hostel life.,High
Tube Light Fault,Power socket is loose and needs replacement. The complaint was observed this morning.,Medium
Lift Failure,Ceiling plaster collapsed in room 235. This problem has been occurring since yesterday.,High
Water Supply Problem,Bathroom tap keeps dripping in room 444. The problem is becoming worse every day.,Medium
Water Tap Problem,Flush is not working in hostel washroom. The complaint was observed this morning.,Medium
Water Supply Problem,Flush is not working in hostel washroom. Immediate maintenance is requested.,Medium
Water Tap Problem,Ceiling fan is not rotating properly in room 244. Immediate maintenance is requested.,Medium
Noise Complaint,Laundry clothes have not been returned on time. The complaint was observed this morning.,Low
Garden Maintenance,Students are making noise after study hours. Please resolve this issue as soon as possible.,Low
Short Circuit,Strong gas smell reported near hostel kitchen in Block A. Kindly look into this matter.,High
Ceiling Collapse,Short circuit occurred near switchboard in room 421. This has become inconvenient for students.,High
Tube Light Fault,Bathroom tap keeps dripping in room 354. Kindly look into this matter.,Medium
Fan Repair,Window glass cracked due to heavy wind in room 322. Kindly look into this matter.,Medium
Door Lock Issue,Bathroom tap keeps dripping in room 296. The complaint was observed this morning.,Medium
Laundry Delay,Students are making noise after study hours. The complaint was observed this morning.,Low
Fire Hazard,"Continuous water leakage from ceiling in room 272, Block E. Immediate maintenance is requested.",High
Water Leakage,"Continuous water leakage from ceiling in room 344, Block E. Kindly look into this matter.",High
WiFi Slow,Request to install additional charging ports. Kindly look into this matter.,Low
Water Tap Problem,Study table leg is broken in room 162. Please resolve this issue as soon as possible.,Medium
Noise Complaint,Hostel walls require repainting in Block B. The complaint was observed this morning.,Low
Medical Emergency,Student collapsed due to breathing difficulty in room 165. The problem is becoming worse every day.,High
Cleaning Request,Curtain rod is slightly loose in room 211. This problem has been occurring since yesterday.,Low
Lift Failure,Student experienced electric shock from socket in room 306. Please resolve this issue as soon as possible.,High
Gas Leak,Short circuit occurred near switchboard in room 128. The issue is affecting daily hostel life.,High
Fire Hazard,Short circuit occurred near switchboard in room 457. This problem has been occurring since yesterday.,High
Minor Maintenance,Garden near Block E requires maintenance. This problem has been occurring since yesterday.,Low
Switch Board Issue,Study table leg is broken in room 394. Immediate maintenance is requested.,Medium
Furniture Damage,Study table leg is broken in room 449. This problem has been occurring since yesterday.,Medium
Water Leakage,Smoke observed coming from electrical wiring in corridor. Please resolve this issue as soon as possible.,High
Water Tap Problem,Switch board buttons are loose in room 368. The issue is affecting daily hostel life.,Medium
Electric Shock,Lift stopped unexpectedly with students inside Block D. Immediate maintenance is requested.,High
Noise Complaint,Laundry clothes have not been returned on time. This has become inconvenient for students.,Low
Tube Light Fault,Flush is not working in hostel washroom. Please resolve this issue as soon as possible.,Medium
Dustbin Overflow,Garden near Block C requires maintenance. Kindly look into this matter.,Low
Water Tap Problem,Ceiling fan is not rotating properly in room 117. This problem has been occurring since yesterday.,Medium
Mess Food Feedback,Curtain rod is slightly loose in room 396. This has become inconvenient for students.,Low
Ceiling Collapse,Short circuit occurred near switchboard in room 120. The problem is becoming worse every day.,High
Suggestion,Room cleaning has not been done for two days in room 292. Please resolve this issue as soon as possible.,Low
Short Circuit,Smoke observed coming from electrical wiring in corridor. Kindly look into this matter.,High
Electric Shock,"Continuous water leakage from ceiling in room 452, Block E. The complaint was observed this morning.",High
Security Emergency,Student collapsed due to breathing difficulty in room 330. Immediate maintenance is requested.,High
Window Damage,Window glass cracked due to heavy wind in room 506. The complaint was observed this morning.,Medium
WiFi Slow,Curtain rod is slightly loose in room 492. The complaint was observed this morning.,Low
Switch Board Issue,Bathroom tap keeps dripping in room 483. The problem is becoming worse every day.,Medium
Switch Board Issue,Door lock is jammed and cannot be opened in room 352. The issue is affecting daily hostel life.,Medium
Ceiling Collapse,"Continuous water leakage from ceiling in room 105, Block A. Please resolve this issue as soon as possible.",High
Socket Repair,Study table leg is broken in room 409. The complaint was observed this morning.,Medium
Minor Maintenance,Laundry clothes have not been returned on time. Kindly look into this matter.,Low
Window Damage,Bathroom tap keeps dripping in room 478. Kindly look into this matter.,Medium
Window Damage,Switch board buttons are loose in room 297. The problem is becoming worse every day.,Medium
Cleaning Request,Request to install additional charging ports. This has become inconvenient for students.,Low
WiFi Slow,Curtain rod is slightly loose in room 179. Immediate maintenance is requested.,Low
Cleaning Request,Dustbin outside room 321 is overflowing. Kindly look into this matter.,Low
Security Emergency,Student experienced electric shock from socket in room 344. This has become inconvenient for students.,High
Cleaning Request,Hostel walls require repainting in Block B. This problem has been occurring since yesterday.,Low
Medical Emergency,Smoke observed coming from electrical wiring in corridor. This problem has been occurring since yesterday.,High
Ceiling Collapse,Unknown person entered girls hostel near Block B. This has become inconvenient for students.,High
Cleaning Request,Request to install additional charging ports. The problem is becoming worse every day.,Low
Electric Shock,Ceiling plaster collapsed in room 328. This problem has been occurring since yesterday.,High
Tube Light Fault,Water supply is irregular in Block E. The issue is affecting daily hostel life.,Medium
WiFi Slow,Mess food quality can be improved during dinner. This problem has been occurring since yesterday.,Low
Medical Emergency,"Continuous water leakage from ceiling in room 488, Block A. Kindly look into this matter.",High
Short Circuit,Ceiling plaster collapsed in room 241. The issue is affecting daily hostel life.,High
Garden Maintenance,Room cleaning has not been done for two days in room 413. The problem is becoming worse every day.,Low
Gas Leak,Ceiling plaster collapsed in room 414. This problem has been occurring since yesterday.,High
Door Lock Issue,Study table leg is broken in room 381. This has become inconvenient for students.,Medium
WiFi Slow,Hostel walls require repainting in Block E. This has become inconvenient for students.,Low
Lift Failure,Smoke observed coming from electrical wiring in corridor. Immediate maintenance is requested.,High
Water Supply Problem,Ceiling fan is not rotating properly in room 165. This problem has been occurring since yesterday.,Medium
Door Lock Issue,Water supply is irregular in Block C. Immediate maintenance is requested.,Medium
Water Leakage,Unknown person entered girls hostel near Block C. Immediate maintenance is requested.,High
Flush Issue,Switch board buttons are loose in room 108. Immediate maintenance is requested.,Medium
Security Emergency,Short circuit occurred near switchboard in room 121. Please resolve this issue as soon as possible.,High
Short Circuit,Student collapsed due to breathing difficulty in room 190. Kindly look into this matter.,High
Socket Repair,Switch board buttons are loose in room 229. Kindly look into this matter.,Medium
Ceiling Collapse,Ceiling plaster collapsed in room 434. Kindly look into this matter.,High
Painting Request,Garden near Block A requires maintenance. This has become inconvenient for students.,Low
Lift Failure,Student experienced electric shock from socket in room 344. The issue is affecting daily hostel life.,High
Switch Board Issue,Door lock is jammed and cannot be opened in room 119. The complaint was observed this morning.,Medium
Dustbin Overflow,Request to install additional charging ports. The complaint was observed this morning.,Low
Noise Complaint,Room cleaning has not been done for two days in room 490. Please resolve this issue as soon as possible.,Low
WiFi Slow,Request to install additional charging ports. Please resolve this issue as soon as possible.,Low
Water Leakage,Short circuit occurred near switchboard in room 396. Please resolve this issue as soon as possible.,High
Garden Maintenance,Hostel walls require repainting in Block D. The problem is becoming worse every day.,Low
Cleaning Request,Garden near Block D requires maintenance. This has become inconvenient for students.,Low
Water Supply Problem,Study table leg is broken in room 155. Immediate maintenance is requested.,Medium
Switch Board Issue,Study table leg is broken in room 109. Kindly look into this matter.,Medium
Short Circuit,Unknown person entered girls hostel near Block E. The problem is becoming worse every day.,High
Noise Complaint,Hostel walls require repainting in Block D. Please resolve this issue as soon as possible.,Low
Lift Failure,Student collapsed due to breathing difficulty in room 275. Immediate maintenance is requested.,High
Painting Request,Request to install additional charging ports. Please resolve this issue as soon as possible.,Low
Water Leakage,Short circuit occurred near switchboard in room 402. Please resolve this issue as soon as possible.,High
Cleaning Request,Room cleaning has not been done for two days in room 112. The problem is becoming worse every day.,Low
Painting Request,Curtain rod is slightly loose in room 376. This has become inconvenient for students.,Low
Minor Maintenance,Mess food quality can be improved during dinner. This problem has been occurring since yesterday.,Low
Door Lock Issue,Window glass cracked due to heavy wind in room 349. The issue is affecting daily hostel life.,Medium
Smoke Alert,"Continuous water leakage from ceiling in room 155, Block E. Immediate maintenance is requested.",High
Noise Complaint,Garden near Block A requires maintenance. This problem has been occurring since yesterday.,Low
Furniture Damage,Study table leg is broken in room 226. Immediate maintenance is requested.,Medium
WiFi Slow,Hostel walls require repainting in Block A. Please resolve this issue as soon as possible.,Low
Minor Maintenance,Internet speed is slow in room 442. This has become inconvenient for students.,Low
Window Damage,Switch board buttons are loose in room 118. Kindly look into this matter.,Medium
WiFi Slow,Curtain rod is slightly loose in room 138. Immediate maintenance is requested.,Low
Noise Complaint,Room cleaning has not been done for two days in room 249. This has become inconvenient for students.,Low
Noise Complaint,Hostel walls require repainting in Block A. Please resolve this issue as soon as possible.,Low
Cleaning Request,Request to install additional charging ports. This problem has been occurring since yesterday.,Low
Laundry Delay,Request to install additional charging ports. The problem is becoming worse every day.,Low
Medical Emergency,Ceiling plaster collapsed in room 433. This has become inconvenient for students.,High
Ceiling Collapse,"Continuous water leakage from ceiling in room 443, Block D. Please resolve this issue as soon as possible.",High
Garden Maintenance,Internet speed is slow in room 217. The issue is affecting daily hostel life.,Low
Garden Maintenance,Internet speed is slow in room 395. Please resolve this issue as soon as possible.,Low
Fire Hazard,"Continuous water leakage from ceiling in room 232, Block E. Immediate maintenance is requested.",High
Water Supply Problem,Tube light flickers continuously in room 452. Immediate maintenance is requested.,Medium
Dustbin Overflow,Request to install additional charging ports. The problem is becoming worse every day.,Low
Furniture Damage,Flush is not working in hostel washroom. The issue is affecting daily hostel life.,Medium
Socket Repair,Door lock is jammed and cannot be opened in room 253. Kindly look into this matter.,Medium
Gas Leak,Ceiling plaster collapsed in room 255. Kindly look into this matter.,High
Medical Emergency,Smoke observed coming from electrical wiring in corridor. The complaint was observed this morning.,High
Gas Leak,Short circuit occurred near switchboard in room 500. This problem has been occurring since yesterday.,High
Garden Maintenance,Laundry clothes have not been returned on time. The complaint was observed this morning.,Low
Short Circuit,Student experienced electric shock from socket in room 320. The complaint was observed this morning.,High
Socket Repair,Bathroom tap keeps dripping in room 337. Please resolve this issue as soon as possible.,Medium
Fire Hazard,Student experienced electric shock from socket in room 316. Please resolve this issue as soon as possible.,High
Minor Maintenance,Request to install additional charging ports. The issue is affecting daily hostel life.,Low
Security Emergency,Ceiling plaster collapsed in room 506. This problem has been occurring since yesterday.,High
Lift Failure,Strong gas smell reported near hostel kitchen in Block D. The issue is affecting daily hostel life.,High
Gas Leak,Unknown person entered girls hostel near Block E. The issue is affecting daily hostel life.,High
Smoke Alert,Smoke observed coming from electrical wiring in corridor. This has become inconvenient for students.,High
Painting Request,Curtain rod is slightly loose in room 478. This problem has been occurring since yesterday.,Low
Fire Hazard,Ceiling plaster collapsed in room 385. Please resolve this issue as soon as possible.,High
Medical Emergency,Unknown person entered girls hostel near Block E. This has become inconvenient for students.,High
Security Emergency,Student experienced electric shock from socket in room 473. The issue is affecting daily hostel life.,High
Switch Board Issue,Study table leg is broken in room 139. Please resolve this issue as soon as possible.,Medium
Security Emergency,Student collapsed due to breathing difficulty in room 413. The problem is becoming worse every day.,High
Water Tap Problem,Water supply is irregular in Block C. Please resolve this issue as soon as possible.,Medium
Medical Emergency,Smoke observed coming from electrical wiring in corridor. Immediate maintenance is requested.,High
Security Emergency,Ceiling plaster collapsed in room 350. This problem has been occurring since yesterday.,High
Gas Leak,Student experienced electric shock from socket in room 183. The issue is affecting daily hostel life.,High
Socket Repair,Switch board buttons are loose in room 122. Kindly look into this matter.,Medium
Cleaning Request,Request to install additional charging ports. The problem is becoming worse every day.,Low
Tube Light Fault,Bathroom tap keeps dripping in room 399. This has become inconvenient for students.,Medium
Switch Board Issue,Switch board buttons are loose in room 106. Immediate maintenance is requested.,Medium
Fire Hazard,"Continuous water leakage from ceiling in room 341, Block D. This problem has been occurring since yesterday.",High
Short Circuit,Short circuit occurred near switchboard in room 358. This problem has been occurring since yesterday.,High
Ceiling Collapse,Fire sparks noticed near electrical panel in room 217. This problem has been occurring since yesterday.,High
Short Circuit,Lift stopped unexpectedly with students inside Block A. The problem is becoming worse every day.,High
Fan Repair,Bathroom tap keeps dripping in room 149. The problem is becoming worse every day.,Medium
Water Tap Problem,Tube light flickers continuously in room 104. Immediate maintenance is requested.,Medium
Electric Shock,Lift stopped unexpectedly with students inside Block A. The problem is becoming worse every day.,High
Water Leakage,"Continuous water leakage from ceiling in room 498, Block B. The complaint was observed this morning.",High
Dustbin Overflow,Garden near Block D requires maintenance. The problem is becoming worse every day.,Low
Smoke Alert,Student collapsed due to breathing difficulty in room 218. Immediate maintenance is requested.,High
Fire Hazard,Ceiling plaster collapsed in room 474. The problem is becoming worse every day.,High
Furniture Damage,Water supply is irregular in Block E. Kindly look into this matter.,Medium
Water Tap Problem,Tube light flickers continuously in room 395. Kindly look into this matter.,Medium
Security Emergency,Ceiling plaster collapsed in room 256. Please resolve this issue as soon as possible.,High
Noise Complaint,Mess food quality can be improved during dinner. Please resolve this issue as soon as possible.,Low
Door Lock Issue,Water supply is irregular in Block D. Kindly look into this matter.,Medium
Lift Failure,Fire sparks noticed near electrical panel in room 148. Kindly look into this matter.,High
Gas Leak,Ceiling plaster collapsed in room 382. The issue is affecting daily hostel life.,High
Security Emergency,Unknown person entered girls hostel near Block E. Immediate maintenance is requested.,High
Laundry Delay,Mess food quality can be improved during dinner. The issue is affecting daily hostel life.,Low
Socket Repair,Door lock is jammed and cannot be opened in room 430. The complaint was observed this morning.,Medium
Fan Repair,Window glass cracked due to heavy wind in room 503. This has become inconvenient for students.,Medium
Water Tap Problem,Tube light flickers continuously in room 447. Immediate maintenance is requested.,Medium
Security Emergency,Lift stopped unexpectedly with students inside Block D. Please resolve this issue as soon as possible.,High
Gas Leak,Ceiling plaster collapsed in room 260. The complaint was observed this morning.,High
WiFi Slow,Internet speed is slow in room 371. Please resolve this issue as soon as possible.,Low
Cleaning Request,Garden near Block C requires maintenance. Kindly look into this matter.,Low
Electric Shock,Student collapsed due to breathing difficulty in room 486. The issue is affecting daily hostel life.,High
Minor Maintenance,Room cleaning has not been done for two days in room 225. Please resolve this issue as soon as possible.,Low
Window Damage,Door lock is jammed and cannot be opened in room 436. Please resolve this issue as soon as possible.,Medium
Garden Maintenance,Hostel walls require repainting in Block E. This has become inconvenient for students.,Low
Ceiling Collapse,Ceiling plaster collapsed in room 159. The complaint was observed this morning.,High
Flush Issue,Ceiling fan is not rotating properly in room 178. This problem has been occurring since yesterday.,Medium
Socket Repair,Power socket is loose and needs replacement. Kindly look into this matter.,Medium
Laundry Delay,Garden near Block E requires maintenance. This has become inconvenient for students.,Low
Noise Complaint,Laundry clothes have not been returned on time. The problem is becoming worse every day.,Low
Door Lock Issue,Power socket is loose and needs replacement. Immediate maintenance is requested.,Medium
Tube Light Fault,Water supply is irregular in Block B. The complaint was observed this morning.,Medium
Flush Issue,Switch board buttons are loose in room 118. Immediate maintenance is requested.,Medium
WiFi Slow,Students are making noise after study hours. This has become inconvenient for students.,Low
Furniture Damage,Study table leg is broken in room 116. The issue is affecting daily hostel life.,Medium
Furniture Damage,Switch board buttons are loose in room 451. The issue is affecting daily hostel life.,Medium
Furniture Damage,Tube light flickers continuously in room 279. The problem is becoming worse every day.,Medium
Fire Hazard,"Continuous water leakage from ceiling in room 427, Block E. Immediate maintenance is requested.",High
Flush Issue,Power socket is loose and needs replacement. The complaint was observed this morning.,Medium
Flush Issue,Bathroom tap keeps dripping in room 496. The problem is becoming worse every day.,Medium
Painting Request,Internet speed is slow in room 122. Please resolve this issue as soon as possible.,Low
Painting Request,Curtain rod is slightly loose in room 262. The problem is becoming worse every day.,Low
Laundry Delay,Hostel walls require repainting in Block B. The issue is affecting daily hostel life.,Low
Water Supply Problem,Power socket is loose and needs replacement. This has become inconvenient for students.,Medium
Laundry Delay,Garden near Block B requires maintenance. This has become inconvenient for students.,Low
Electric Shock,Student collapsed due to breathing difficulty in room 287. Kindly look into this matter.,High
Cleaning Request,Students are making noise after study hours. This problem has been occurring since yesterday.,Low
Suggestion,Internet speed is slow in room 394. The problem is becoming worse every day.,Low
Medical Emergency,Unknown person entered girls hostel near Block B. The issue is affecting daily hostel life.,High
Electric Shock,Student experienced electric shock from socket in room 435. Kindly look into this matter.,High
Security Emergency,Smoke observed coming from electrical wiring in corridor. Kindly look into this matter.,High
Painting Request,Dustbin outside room 123 is overflowing. Please resolve this issue as soon as possible.,Low
Flush Issue,Power socket is loose and needs replacement. Immediate maintenance is requested.,Medium
Fan Repair,Ceiling fan is not rotating properly in room 142. The complaint was observed this morning.,Medium
Ceiling Collapse,Student collapsed due to breathing difficulty in room 187. Immediate maintenance is requested.,High
WiFi Slow,Laundry clothes have not been returned on time. Immediate maintenance is requested.,Low
Gas Leak,Fire sparks noticed near electrical panel in room 157. The problem is becoming worse every day.,High
Water Leakage,Lift stopped unexpectedly with students inside Block D. This has become inconvenient for students.,High
Mess Food Feedback,Internet speed is slow in room 385. Immediate maintenance is requested.,Low
Cleaning Request,Internet speed is slow in room 290. This problem has been occurring since yesterday.,Low
WiFi Slow,Request to install additional charging ports. Kindly look into this matter.,Low
Tube Light Fault,Tube light flickers continuously in room 237. The complaint was observed this morning.,Medium
Switch Board Issue,Bathroom tap keeps dripping in room 136. The complaint was observed this morning.,Medium
Smoke Alert,Lift stopped unexpectedly with students inside Block E. The problem is becoming worse every day.,High
Furniture Damage,Door lock is jammed and cannot be opened in room 151. The problem is becoming worse every day.,Medium
Mess Food Feedback,Request to install additional charging ports. Kindly look into this matter.,Low
Noise Complaint,Internet speed is slow in room 449. The issue is affecting daily hostel life.,Low
Cleaning Request,Room cleaning has not been done for two days in room 139. Please resolve this issue as soon as possible.,Low
Tube Light Fault,Switch board buttons are loose in room 138. The complaint was observed this morning.,Medium
Gas Leak,Fire sparks noticed near electrical panel in room 425. This has become inconvenient for students.,High
Ceiling Collapse,Strong gas smell reported near hostel kitchen in Block E. The complaint was observed this morning.,High
Laundry Delay,Room cleaning has not been done for two days in room 151. Please resolve this issue as soon as possible.,Low
Medical Emergency,Smoke observed coming from electrical wiring in corridor. This has become inconvenient for students.,High
Switch Board Issue,Water supply is irregular in Block A. The issue is affecting daily hostel life.,Medium
Dustbin Overflow,Request to install additional charging ports. Please resolve this issue as soon as possible.,Low
Smoke Alert,Student collapsed due to breathing difficulty in room 108. The complaint was observed this morning.,High
Window Damage,Window glass cracked due to heavy wind in room 429. The problem is becoming worse every day.,Medium
Window Damage,Water supply is irregular in Block A. This problem has been occurring since yesterday.,Medium
Window Damage,Study table leg is broken in room 459. Please resolve this issue as soon as possible.,Medium
Cleaning Request,Request to install additional charging ports. This problem has been occurring since yesterday.,Low
Smoke Alert,Smoke observed coming from electrical wiring in corridor. This problem has been occurring since yesterday.,High
Medical Emergency,Short circuit occurred near switchboard in room 515. The complaint was observed this morning.,High
Electric Shock,Fire sparks noticed near electrical panel in room 333. Kindly look into this matter.,High
Socket Repair,Power socket is loose and needs replacement. The complaint was observed this morning.,Medium
Dustbin Overflow,Room cleaning has not been done for two days in room 517. The problem is becoming worse every day.,Low
WiFi Slow,Mess food quality can be improved during dinner. This problem has been occurring since yesterday.,Low
Security Emergency,Short circuit occurred near switchboard in room 211. The problem is becoming worse every day.,High
Tube Light Fault,Door lock is jammed and cannot be opened in room 277. This has become inconvenient for students.,Medium
Cleaning Request,Hostel walls require repainting in Block A. This has become inconvenient for students.,Low
Tube Light Fault,Tube light flickers continuously in room 258. This has become inconvenient for students.,Medium
Medical Emergency,Unknown person entered girls hostel near Block E. The complaint was observed this morning.,High
Tube Light Fault,Power socket is loose and needs replacement. Kindly look into this matter.,Medium
Smoke Alert,Student experienced electric shock from socket in room 417. Please resolve this issue as soon as possible.,High
Lift Failure,Fire sparks noticed near electrical panel in room 499. This has become inconvenient for students.,High
Minor Maintenance,Room cleaning has not been done for two days in room 180. This problem has been occurring since yesterday.,Low
Painting Request,Curtain rod is slightly loose in room 296. This has become inconvenient for students.,Low
Painting Request,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Smoke Alert,Smoke observed coming from electrical wiring in corridor. Kindly look into this matter.,High
Garden Maintenance,Students are making noise after study hours. The problem is becoming worse every day.,Low
Security Emergency,Student experienced electric shock from socket in room 184. Immediate maintenance is requested.,High
Minor Maintenance,Mess food quality can be improved during dinner. Immediate maintenance is requested.,Low
Window Damage,Tube light flickers continuously in room 233. Kindly look into this matter.,Medium
Flush Issue,Bathroom tap keeps dripping in room 451. Please resolve this issue as soon as possible.,Medium
Dustbin Overflow,Garden near Block B requires maintenance. This problem has been occurring since yesterday.,Low
Minor Maintenance,Mess food quality can be improved during dinner. The issue is affecting daily hostel life.,Low
Fire Hazard,Student experienced electric shock from socket in room 271. The issue is affecting daily hostel life.,High
Water Tap Problem,Flush is not working in hostel washroom. Please resolve this issue as soon as possible.,Medium
Electric Shock,Fire sparks noticed near electrical panel in room 373. Immediate maintenance is requested.,High
Medical Emergency,Fire sparks noticed near electrical panel in room 388. The issue is affecting daily hostel life.,High
Noise Complaint,Mess food quality can be improved during dinner. Kindly look into this matter.,Low
Water Supply Problem,Window glass cracked due to heavy wind in room 368. Immediate maintenance is requested.,Medium
Furniture Damage,Study table leg is broken in room 356. This problem has been occurring since yesterday.,Medium
WiFi Slow,Laundry clothes have not been returned on time. The complaint was observed this morning.,Low
Gas Leak,Strong gas smell reported near hostel kitchen in Block E. Kindly look into this matter.,High
Fan Repair,Window glass cracked due to heavy wind in room 383. This has become inconvenient for students.,Medium
Short Circuit,Student collapsed due to breathing difficulty in room 507. This has become inconvenient for students.,High
Door Lock Issue,Bathroom tap keeps dripping in room 473. Please resolve this issue as soon as possible.,Medium
Painting Request,Garden near Block B requires maintenance. Immediate maintenance is requested.,Low
